iter	MultiClass
0	1.042033827
1	0.9974967095
2	0.9569589064
3	0.9214355992
4	0.8907727216
5	0.8645360673
6	0.8418824554
7	0.8259821285
8	0.8113222137
9	0.7956685325
10	0.7832259093
11	0.7708893292
12	0.7633070137
13	0.7530955599
14	0.7450424634
15	0.7364017916
16	0.7294386433
17	0.7221015944
18	0.7161216503
19	0.7098621921
20	0.7065350911
21	0.7035789012
22	0.6979252328
23	0.6942258112
24	0.6886339785
25	0.6857987117
26	0.6811648621
27	0.6771370183
28	0.6730798703
29	0.671061566
30	0.6680510232
31	0.6655741576
32	0.6622981503
33	0.6598577056
34	0.6587629542
35	0.6561312265
36	0.65288587
37	0.6504865303
38	0.6486198886
39	0.646793727
40	0.645321755
41	0.643904034
42	0.6407985953
43	0.6384577066
44	0.6367091387
45	0.6352081785
46	0.6331372741
47	0.631776786
48	0.6300679379
49	0.6277741319
50	0.6265415744
51	0.6250967472
52	0.6227814642
53	0.6207832112
54	0.6197066144
55	0.6174010483
56	0.6164632828
57	0.6151785849
58	0.614675068
59	0.6134647948
60	0.6120455737
61	0.6103650857
62	0.6081605171
63	0.606532942
64	0.6055187963
65	0.6040676775
66	0.6028411769
67	0.6006557226
68	0.5998741402
69	0.5979323209
70	0.5967124126
71	0.595478674
72	0.5941211516
73	0.5932238491
74	0.5920077428
75	0.5910877812
76	0.5892356167
77	0.5874313223
78	0.5863124978
79	0.5852024326
80	0.5837081393
81	0.5825939843
82	0.5815930182
83	0.5805037694
84	0.5789687885
85	0.5772371069
86	0.5767609715
87	0.5752646306
88	0.5744164779
89	0.5733729362
90	0.572429954
91	0.5706869904
92	0.5692965111
93	0.5682685056
94	0.5666937783
95	0.5658124815
96	0.5640151775
97	0.5622888687
98	0.560907039
99	0.5592945299
100	0.5573054618
101	0.5567157182
102	0.5556635797
103	0.5545388239
104	0.5541334181
105	0.5531137501
106	0.5521681413
107	0.5513827515
108	0.550762393
109	0.5499157078
110	0.5487321256
111	0.5469774338
112	0.545631884
113	0.5443263777
114	0.5424935439
115	0.5409288977
116	0.5400772273
117	0.5384980782
118	0.5374357978
119	0.5365167363
120	0.5353170103
121	0.53486494
122	0.5334511824
123	0.5319788247
124	0.5307573671
125	0.5291893464
126	0.5280925446
127	0.5268072175
128	0.5255485904
129	0.5240692307
130	0.5231464934
131	0.5219627064
132	0.5206943525
133	0.5195065016
134	0.5186095259
135	0.5174371919
136	0.5162477094
137	0.5147672574
138	0.512936029
139	0.5117161609
140	0.509799073
141	0.5085708276
142	0.507690305
143	0.5070814327
144	0.5062844942
145	0.5057045052
146	0.5050935431
147	0.5039202069
148	0.5032568418
149	0.5019592547
150	0.50144224
151	0.5008753874
152	0.4995938728
153	0.4981023007
154	0.4973129301
155	0.4964632735
156	0.4956586503
157	0.4945307637
158	0.4934409107
159	0.4926869618
160	0.4919486174
161	0.4912232653
162	0.4904399621
163	0.4890115572
164	0.4877764296
165	0.4868711679
166	0.486077936
167	0.4853667049
168	0.4846230737
169	0.4840479009
170	0.482863344
171	0.4822873674
172	0.4812262836
173	0.4806391629
174	0.4796186966
175	0.4793560522
176	0.4788458189
177	0.4777905368
178	0.4770782021
179	0.4765810506
180	0.4757460529
181	0.474885712
182	0.4738564649
183	0.472436081
184	0.471428249
185	0.4704919211
186	0.4698621763
187	0.4694484698
188	0.4688189816
189	0.4675499019
190	0.4672190242
191	0.4659685362
192	0.4654370678
193	0.4643722142
194	0.4635293425
195	0.4627127583
196	0.4615565231
197	0.4607069215
198	0.4598340288
199	0.4586963063
200	0.4575919411
201	0.4570940485
202	0.4559995724
203	0.4551460066
204	0.4543826901
205	0.4530011604
206	0.4519149456
207	0.4511456203
208	0.4501195476
209	0.4493120292
210	0.4484916635
211	0.4476336542
212	0.4470781481
213	0.4463668924
214	0.4453037686
215	0.4444945187
216	0.4441570693
217	0.4437927994
218	0.443011284
219	0.4424146191
220	0.4417549095
221	0.4412762553
222	0.44086555
223	0.440226613
224	0.4393447367
225	0.438622076
226	0.437923642
227	0.4369377118
228	0.4359738428
229	0.434737051
230	0.4337379129
231	0.432977342
232	0.4320207122
233	0.4316064136
234	0.4308876758
235	0.4305357691
236	0.4300097268
237	0.4289747178
238	0.428291726
239	0.4274834294
240	0.4270696001
241	0.4261593728
242	0.4252318447
243	0.4247951713
244	0.4241109545
245	0.4234535303
246	0.4231822691
247	0.4227143928
248	0.4221726822
249	0.4215320293
250	0.4205683518
251	0.4196497315
252	0.4187953481
253	0.4183114848
254	0.4177155158
255	0.417213291
256	0.4162497439
257	0.4153303762
258	0.4143031538
259	0.4140123953
260	0.4132328685
261	0.4122351445
262	0.4115097754
263	0.4109084146
264	0.410003518
265	0.4096943073
266	0.4089231763
267	0.4084495807
268	0.407692925
269	0.4069013173
270	0.4065139753
271	0.4060035532
272	0.4057018195
273	0.4053914664
274	0.404915875
275	0.404196881
276	0.4039053847
277	0.4035263136
278	0.4027752516
279	0.4025409876
280	0.4018279225
281	0.4013547388
282	0.4007510615
283	0.3999667483
284	0.3993367512
285	0.3985594302
286	0.3979908023
287	0.3976633042
288	0.3970192382
289	0.3968335424
290	0.3959131369
291	0.3954899506
292	0.3952939492
293	0.3947314075
294	0.3938086896
295	0.3926032293
296	0.3919204835
297	0.3914907017
298	0.390816776
299	0.3904661949
